식품명,식품대분류명,식품중분류명,100g당 에너지(kcal),단백질(g),지방(g),탄수화물(g)
꽃게탕,main dish,찌개 및 전골류,17,1.86,0.41,1.44
낙지전골,main dish,찌개 및 전골류,51,6.5,1.14,3.72
동태국,main dish,찌개 및 전골류,17,2.42,0.16,1.4
동태찌개,main dish,찌개 및 전골류,44,6.11,1.37,1.72
돼지고기찌개,main dish,찌개 및 전골류,48,6.25,1.51,2.26
된장찌개,main dish,찌개 및 전골류,46,3.38,1.63,4.44
된장찌개_냉이,main dish,찌개 및 전골류,19,1.17,0.31,2.91
된장찌개_달래,main dish,찌개 및 전골류,35,3.18,0.79,3.81
된장찌개_두부,main dish,찌개 및 전골류,41,3.25,1.96,2.56
된장찌개_바지락,main dish,찌개 및 전골류,23,2.88,0.72,1.18
두부찌개_고추장,main dish,찌개 및 전골류,52,4.01,2.63,3.18
두부찌개_소고기_고추장,main dish,찌개 및 전골류,58,4.56,1.42,6.73
두부찌개_소고기_된장,main dish,찌개 및 전골류,55,5.71,1.98,3.5
매운탕_대구,main dish,찌개 및 전골류,22,4.49,0.4,0.19
매운탕_해물,main dish,찌개 및 전골류,35,4.85,0.64,2.51
버섯전골,main dish,찌개 및 전골류,78,5.14,4.24,4.78
부대찌개,main dish,찌개 및 전골류,123,5.86,6.49,10.27
샤브샤브_버섯,main dish,찌개 및 전골류,30,3.88,0.9,1.57
가지나물,side dish,나물·숙채류,36,1.42,1.5,4.18
고구마줄기나물,side dish,나물·숙채류,83,0.98,7,4.1
고사리나물무침,side dish,나물·숙채류,90,3.78,5.52,6.28
고춧잎나물무침,side dish,나물·숙채류,88,4.41,4.69,7.14
깻잎나물,side dish,나물·숙채류,78,2.68,5.18,5.04
냉이나물,side dish,나물·숙채류,111,5.02,3.07,15.7
도라지나물무침,side dish,나물·숙채류,130,2.48,7.52,13.12
돌나물무침,side dish,나물·숙채류,69,1.66,3.18,8.3
머위대나물무침,side dish,나물·숙채류,58,3.96,2.56,4.76
무나물무침,side dish,나물·숙채류,21,0.62,0.46,3.64
방풍나물무침,side dish,나물·숙채류,76,4.39,1.73,10.74
배추나물,side dish,나물·숙채류,61,2.01,2.19,8.45
비름나물무침,side dish,나물·숙채류,73,3.46,4.05,5.7
버섯조림,side dish,조림류,60,4.38,2,6.23
병어조림,side dish,조림류,112,12.46,4.78,4.87
삼치조림,side dish,조림류,125,15.88,5.63,2.61
양미리조림,side dish,조림류,65,5.76,0.66,9.09
어묵조림,side dish,조림류,159,5.83,4.73,23.16
연근조림,side dish,조림류,174,2.68,5.1,29.42
오징어조림,side dish,조림류,137,16.55,2.37,12.45
오징어채조림,side dish,조림류,240,23.52,4.9,25.36
우엉조림,side dish,조림류,188,4.8,3.33,34.8
장조림_달걀,side dish,조림류,138,9.85,7.12,8.67
장조림_메추리알,side dish,조림류,203,14.25,13.41,6.3
장조림_소고기,side dish,조림류,69,10.41,0.86,4.84
장조림_소고기_메추리알,side dish,조림류,157,11.69,5.39,15.56
쥐포조림,side dish,조림류,276,13.03,8.86,36.12
코다리조림,side dish,조림류,86,16.46,0.4,4.16
콩조림(콩자반),side dish,조림류,281,17.97,7.73,34.83
잔멸치볶음_홍고추_풋고추,side dish,볶음류,228,33.28,8,5.72
잡채,side dish,볶음류,146,4.71,3.3,24.26
잡채_어묵,side dish,볶음류,148,2.34,3.78,26.13
잡채_콩나물,side dish,볶음류,67,1.93,0.97,12.55
죽순볶음_소고기,side dish,볶음류,120,13.68,5.59,3.78
팔보채,side dish,볶음류,90,12.42,2.9,3.42
풋고추볶음,side dish,볶음류,70,1.93,3.23,8.25
햄볶음_채소,side dish,볶음류,183,10.47,11.37,9.6
감자조림,side dish,조림류,114,2.4,3.52,18.1
고등어조림,side dish,조림류,141,11.25,8.84,4.1
꽁치조림,side dish,조림류,244,15.52,17.87,5.14
닭볶음탕,side dish,조림류,111,11.91,3.22,8.52
닭조림,side dish,조림류,197,18.03,10.9,6.57
닭조림_고추장,side dish,조림류,152,9.12,6.94,13.25
두부조림,side dish,조림류,143,9.64,9.66,4.4
땅콩조림,side dish,조림류,483,18.75,36.4,19.95
멸치조림,side dish,조림류,318,40.92,13.22,8.93
무조림,side dish,조림류,48,2.26,2.38,4.29
미트볼조림,side dish,조림류,221,18.15,10.73,12.95
버섯볶음_느타리,side dish,볶음류,94,2.8,6.2,6.78
버섯볶음_새송이버섯,side dish,볶음류,121,2.95,8.03,9.29
브로콜리볶음,side dish,볶음류,51,4.42,1.28,5.53
삼겹살볶음_묵은지김치,side dish,볶음류,151,5.76,10.49,8.4
새우볶음,side dish,볶음류,83,9.91,2.21,5.96
소고기볶음_고추장,side dish,볶음류,197,14.36,10.79,10.7
소고기볶음_버섯,side dish,볶음류,144,11.59,7.73,6.92
소고기볶음_채소,side dish,볶음류,126,12.8,5.4,6.44
소시지볶음,side dish,볶음류,280,11.94,19.38,14.41
애호박볶음,side dish,볶음류,59,1.32,3.62,5.3
양파볶음,side dish,볶음류,56,0.99,1.54,9.51
어묵볶음,side dish,볶음류,197,8.41,7.29,24.33
어묵볶음_채소,side dish,볶음류,152,6.33,6.41,17.2
오징어볶음,side dish,볶음류,128,9.85,6.52,7.43
유산슬,side dish,볶음류,86,7.54,4.4,4.1
잔멸치볶음_견과류,side dish,볶음류,388,24.34,22.22,22.64
잔멸치볶음_꽈리고추,side dish,볶음류,293,24.78,17.48,9.24
잔멸치볶음_풋고추,side dish,볶음류,256,28.24,8.32,16.94
닭볶음(닭갈비)_닭가슴살_피망,side dish,볶음류,122,16.39,5.65,1.38
당근볶음,side dish,볶음류,95,0.93,6.63,7.79
돼지고기볶음_김치,side dish,볶음류,161,11.81,10.05,5.93
돼지고기볶음_채소,side dish,볶음류,169,16.57,7.59,8.63
돼지고기볶음(제육볶음),side dish,볶음류,195,12.15,14.19,4.73
떡볶이,side dish,볶음류,144,3.51,2.96,25.96
떡볶이_채소,side dish,볶음류,258,3.12,1.88,57.06
라볶이,side dish,볶음류,134,2.83,4.71,20.14
마늘쫑볶음,side dish,볶음류,89,3.25,2.54,13.17
마늘쫑볶음_멸치,side dish,볶음류,117,7.54,2.78,15.42
마파두부,side dish,볶음류,109,7.29,6.48,5.36
멸치볶음,side dish,볶음류,276,39.44,7.08,13.62
멸치볶음_견과류,side dish,볶음류,414,30.4,24.32,18.36
멸치볶음_꽈리고추,side dish,볶음류,253,23.62,14.08,7.96
멸치볶음_마늘쫑,side dish,볶음류,277,32.4,10.84,12.42
멸치볶음_풋고추,side dish,볶음류,190,20.62,6,13.3
문어볶음_고추장,side dish,볶음류,88,10.97,1.02,8.62
미역줄기볶음,side dish,볶음류,77,0.96,5.95,4.85
감자볶음,side dish,볶음류,100,1.75,4.84,12.41
감자볶음_채소,side dish,볶음류,108,2.04,5.22,13.1
건새우볶음,side dish,볶음류,304,41.55,12.95,5.4
곱창볶음_돼지고기,side dish,볶음류,130,7.23,3,18.52
김치볶음,side dish,볶음류,106,1.38,7.94,7.27
김치볶음_참치,side dish,볶음류,122,8.33,6.68,7.12
낙지볶음,side dish,볶음류,91,5.77,3.77,8.6
닭발볶음,side dish,볶음류,186,13.8,9.38,11.72
닭볶음(닭갈비),side dish,볶음류,186,13.98,10.96,7.93
장어구이_고추장,main dish,구이류,259,19.82,17.21,6.18
조개구이_키조개,main dish,구이류,130,17.43,2.07,10.44
조기구이,main dish,구이류,177,19.33,10.86,0.44
참치구이_머리,main dish,구이류,193,26.56,8.98,1.4
치킨데리야끼,main dish,구이류,208,16.54,9.01,15.21
함박스테이크,main dish,구이류,174,12.1,10.73,7.19
꼬치구이_닭고기_대파,main dish,구이류,245,17.85,14.7,10.35
닭구이,main dish,구이류,257,26.21,13.39,7.8
닭발구이,main dish,구이류,196,18.15,9.41,9.7
떡갈비,main dish,구이류,202,21.38,11.82,2.46
런천미트구이,main dish,구이류,303,17.56,24.38,3.27
뱅어포구이,main dish,구이류,374,34.37,15.17,25.07
버섯구이,main dish,구이류,52,5.16,1.38,4.78
버섯구이_새송이버섯,main dish,구이류,84,4.29,2.21,11.66
버섯구이표고버섯,main dish,구이류,100,4.34,1.06,18.14
삼겹살구이,main dish,구이류,467,22.56,41.69,0.35
삼겹살구이_고추장,main dish,구이류,403,14.21,32.83,12.63
삼치구이,main dish,구이류,178,21.42,9.57,1.45
새우구이,main dish,구이류,145,23.41,4.44,2.82
소불고기,main dish,구이류,170,16.41,9.66,4.26
스테이크_소등심,main dish,구이류,194,30.22,8.07,0.14
스테이크_소안심,main dish,구이류,183,34.82,4.83,0.13
오리고기구이,main dish,구이류,293,24.06,19.7,4.89
오리불고기,main dish,구이류,145,6.75,9.05,9.05
달걀찜_우유,main dish,찜류,105,8.23,6.31,3.8
닭찜,main dish,찜류,107,12.37,6.09,0.6
돼지갈비찜,main dish,찜류,194,13.29,12.32,7.44
사태찜_소고기,main dish,찜류,110,12.1,5.17,3.67
수육_소고기,main dish,찜류,166,28.43,4.94,2.04
순대,main dish,찜류,187,2.75,3.64,35.73
아귀찜,main dish,찜류,84,6.72,3.13,7.26
애호박찜,main dish,찜류,181,9.5,6.48,21.18
옥수수_찐옥수수,main dish,찜류,185,6.68,2.42,34.2
족발,main dish,찜류,233,26.04,13.91,0.93
코다리찜,main dish,찜류,94,14.49,1.35,6.08
콩나물찜_해물,main dish,찜류,56,6.67,1.01,4.97
풋고추찜,main dish,찜류,51,2.31,0.99,8.27
가자미구이,main dish,구이류,123,18.7,5.02,0.66
갈비구이_소고기,main dish,구이류,241,25.91,14.55,1.59
갈치구이_기름,main dish,구이류,138,21.54,5.48,0.6
고등어구이_석쇠,main dish,구이류,340,23.38,25.69,3.79
곱창구이_소고기,main dish,구이류,184,14.89,11.73,4.71
김구이_조미김,main dish,구이류,470,20.4,30.2,29
샤브샤브_소고기,main dish,찌개 및 전골류,43,5.38,1.62,1.8
소고기전골,main dish,찌개 및 전골류,63,7.89,3.24,0.46
순두부찌개_김치,main dish,찌개 및 전골류,35,2.98,1.59,2.17
알탕,main dish,찌개 및 전골류,39,6.37,0.74,1.74
오리백숙,main dish,찌개 및 전골류,112,10.59,7.5,0.5
오리탕,main dish,찌개 및 전골류,121,9.5,6.56,6.08
오징어찌개,main dish,찌개 및 전골류,34,3.3,0.22,4.77
청국장찌개,main dish,찌개 및 전골류,47,5.03,2.11,1.92
추어탕,main dish,찌개 및 전골류,54,3.24,3.18,3.07
콩비지찌개,main dish,찌개 및 전골류,69,6.74,3.08,3.57
호박찌개_고추장,main dish,찌개 및 전골류,41,2.08,0.99,5.96
고구마_찐고구마,main dish,찜류,139,1.67,0.24,32.47
가오리찜,main dish,찜류,102,21.99,1.39,0.46
갈비찜_소고기,main dish,찜류,85,7.25,3.17,6.95
감자_찐감자,main dish,찜류,70,2.16,0.16,15.01
깻잎찜,main dish,찜류,97,5.21,5.86,5.96
꼬막찜,main dish,찜류,96,12.03,2.28,6.97
꽈리고추찜,main dish,찜류,104,3.59,2.09,17.69
달걀찜_새우젓,main dish,찜류,58,4.98,4.04,0.47
리소토/리조또_치킨 크림 리조또,main dish,밥류,185,6.22,0,0
볶음밥_갈비천왕 치즈치밥,main dish,밥류,208,10.97,0,22.04
볶음밥_달걀듬뿍볶음밥,main dish,밥류,170,5.38,0,0
볶음밥_닭갈비볶음밥,main dish,밥류,180,5,0,0
볶음밥_볼케이노 치즈치밥,main dish,밥류,198,12.81,0,20.66
볶음밥_의성마늘볶음밥,main dish,밥류,199,3.41,0,0
오므라이스_수플레 오믈렛 라이스,main dish,밥류,167,4.94,0,0
주먹밥_까르보나라 구운주먹밥,main dish,밥류,211,6,0,0
주먹밥_매콤 로제 구운주먹밥,main dish,밥류,209,5,0,0
미숫가루,snack,차류,70,2.08,2.27,10.42
육회,side dish,수·조·어·육류,130,9.93,6.43,8.12
리소토/리조또_스파이시 씨푸드 리조또,main dish,밥류,148,5.81,0,0
오징어무침_채소,side dish,생채·무침류,62,5.85,0.93,7.6
오징어채무침,side dish,생채·무침류,258,23.6,5.53,28.41
톳나물무침,side dish,생채·무침류,75,1.87,2.09,12.28
파래무침,side dish,생채·무침류,49,3.53,1.7,4.97
파무침,side dish,생채·무침류,71,2.25,2.81,9.08
풋고추된장무침_풋고추,side dish,생채·무침류,124,2.37,7.35,12
풋마늘무침,side dish,생채·무침류,71,4.14,1.04,11.27
피조개무침,side dish,생채·무침류,52,4.71,0.95,6.07
해초무침,side dish,생채·무침류,39,0.95,0.16,8.52
회무침,side dish,생채·무침류,82,8.09,1.65,8.6
회무침_가오리,side dish,생채·무침류,81,11.33,1.16,6.35
민들레잎무침,side dish,생채·무침류,81,2.69,2.33,12.32
버섯무침_느타리버섯,side dish,생채·무침류,59,2.74,3.77,3.44
부추무침,side dish,생채·무침류,92,3.5,5.92,6.25
부추무침_양파,side dish,생채·무침류,44,1.83,1.07,6.81
북어채무침,side dish,생채·무침류,188,28.4,2.91,12.05
샐러드_감자,side dish,생채·무침류,126,1.31,7.99,12.25
샐러드_단호박,side dish,생채·무침류,162,1.48,8.97,18.77
샐러드_닭가슴살,side dish,생채·무침류,135,7.17,9.49,5.36
샐러드_새싹,side dish,생채·무침류,74,2.77,4.81,4.96
샐러드_양배추,side dish,생채·무침류,150,2.69,11.71,8.47
샐러드_양상추,side dish,생채·무침류,126,4.91,10.3,3.42
샐러드_옥수수,side dish,생채·무침류,166,1.96,11.94,12.68
샐러드_참치,side dish,생채·무침류,151,10.82,8.65,7.52
샐러드_채소,side dish,생채·무침류,145,1.16,13.35,5.1
양장피,side dish,생채·무침류,133,7.3,6.63,10.95
오이무침_부추,side dish,생채·무침류,31,1.95,0.39,5.01
오이생채,side dish,생채·무침류,69,1.78,2.9,8.96
오이지무침,side dish,생채·무침류,52,0.96,3.51,4.21
겉절이_치커리,side dish,생채·무침류,56,1.49,3.65,4.4
골뱅이무침_소면,side dish,생채·무침류,109,5.01,1.47,18.91
굴무침,side dish,생채·무침류,77,6.68,2.31,7.3
김무침,side dish,생채·무침류,259,21.17,10.73,19.33
낙지무침,side dish,생채·무침류,77,12.41,1.24,3.96
냉채_닭고기,side dish,생채·무침류,90,13.08,1.95,5
다시마무침,side dish,생채·무침류,48,2.57,1.18,6.8
달래무침,side dish,생채·무침류,63,2.92,3.02,6.07
도라지생채,side dish,생채·무침류,77,2.06,0.51,16.15
두릅무침_초고추장,side dish,생채·무침류,67,2.16,3.01,7.89
마늘쫑무침,side dish,생채·무침류,106,2.73,4.93,12.77
무말랭이무침,side dish,생채·무침류,121,4.2,1.55,22.5
무생채,side dish,생채·무침류,49,2.43,1.11,7.33
무생채_굴,side dish,생채·무침류,50,3.68,1.26,5.92
묵무침_도토리묵,side dish,생채·무침류,74,0.93,2.95,10.92
물회_오징어,side dish,생채·무침류,49,6.19,1.2,3.26
미나리무침,side dish,생채·무침류,46,1.31,2.13,5.41
미역초무침,side dish,생채·무침류,35,1.18,1.02,5.24
숙주나물,side dish,나물·숙채류,35,2.22,1.58,2.96
시금치나물,side dish,나물·숙채류,69,3.74,4.46,3.36
시래기나물무침,side dish,나물·숙채류,114,4.32,7.28,7.74
씀바귀나물무침,side dish,나물·숙채류,97,3.87,1.73,16.57
열무나물,side dish,나물·숙채류,82,3.91,5.3,4.76
열무나물_된장,side dish,나물·숙채류,68,3.71,4.09,4.09
유채나물,side dish,나물·숙채류,96,5.8,4.6,7.82
참나물,side dish,나물·숙채류,60,2.51,3.69,4.14
취나물_된장,side dish,나물·숙채류,44,3.08,1.66,4.12
취나물_취나물(마른것),side dish,나물·숙채류,89,3.62,5.4,6.4
콩나물무침,side dish,나물·숙채류,69,3.86,4.54,3.2
콩나물무침_고춧가루,side dish,나물·숙채류,93,3.93,5.93,5.93
토란대나물무침,side dish,나물·숙채류,68,5.14,3.38,4.22
호박오가리나물무침,side dish,나물·숙채류,201,6.14,10.01,21.46
가죽나물무침,side dish,생채·무침류,76,5.83,1.35,10.05
겉절이_배추,side dish,생채·무침류,55,2.28,2.14,6.58
겉절이_상추,side dish,생채·무침류,61,2.36,3.41,5.26
겉절이_열무,side dish,생채·무침류,58,2.4,2.94,5.38
콩밥_완두콩,main dish,밥류,138,2.95,0.16,31.25
우롱차_우롱티 핫(HOT) (J),snack,차류,1,0,0,0
스프_트러플 머쉬룸 수프볼,main dish,죽 및 스프류,178,5.52,0,0
스프_트러플 머쉬룸 수프,main dish,죽 및 스프류,93,1.67,0,0
어묵국(어묵탕)_츠쿠네어묵탕,main dish,국 및 탕류,63,5.2,0,0
닭다리구이_자메이카 통다리구이,main dish,구이류,201,20.6,0,0
닭다리구이_자메이카 통다리구이 (반마리),main dish,구이류,201,20.6,0,0
닭발구이_불닭발,main dish,구이류,235,17,0,17
닭발구이_한입쏙직화닭발,main dish,구이류,148,11.88,0,0
돼지갈비구이_폭립,main dish,구이류,295,24.03,0,7.31
스테이크_닭다리살 스테이크 극한왕갈비맛 (1개),main dish,구이류,234,13.48,0,0
